game_key,Project Name,Env Created,Engagement Type,Engagement Area Position X,Engagement Area Position Y,Engagement Area Size X,Engagement Area Size Y,Perceived Engagement Area Position X,Perceived Engagement Area Position Y,Perceived Engagement Area Size X,Perceived Engagement Area Size Y,Triggerzone Position X,Triggerzone Position Y,Triggerzone Size X,Triggerzone Size Y,Clickthrough,Clickthrough Area Position X,Clickthrough Area Position Y,Clickthrough Area Size X,Clickthrough Area Size Y,Perceived Clickthrough Area Position X,Perceived Clickthrough Area Position Y,Perceived Clickthrough Area Size X,Perceived Clickthrough Area Size Y,Adunit Size X,Adunit Size Y,Count,engagement,click_through
db466f0427328fe28fad7731c4b3c7bd/cd54c321e40b0bcb375a,PUZZLE,development,"drag,dropInside",52.0,138.0,152.0,113.0,,,,,329.0,69.0,169.0,131.0,,,,,,,,,,591.0,296.0,,,
edbcf2ad8e799ab879917c68502acfe4/a9e24b53099d552ce13c,humming bird new,,"click,drag",48.0,672.0,342.0,155.0,,,,,,,,,True,203.0,357.0,194.0,20.0,203.0,357.0,194.0,20.0,600.0,900.0,,,
038e46f36ce8e7bd143a4d408a5ab652/b2c4d33724e9e3bc0db9,BUILD - Epson Eco Tank-copy-imported,staging,"click,drag,collide",112.0,231.0,370.0,281.0,,,,,0.0,566.0,600.0,900.0,True,0.0,0.0,278.0,80.0,161.0,509.0,278.0,80.0,600.0,900.0,,,
152b777739088432073b0f48f1dd1cd3,Lego-Build-classic-imported,testing,"click,drag,dropInside",,,,,,,,,,,,,True,0.0,0.0,223.0,70.0,187.0,764.0,223.0,70.0,600.0,900.0,,,
19e7b691f6a05130897891f21a27fa76,harrybrokeit,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
226c3cf4b5422926f9692a540f10494e/375a8bccf4d63d00e908,num2,staging,shake,,,,,,,,,,,,,,,,,,,,,,1080.0,1920.0,,,
584605af958e07e5a6376536ecdf44d5,newoneyacunt,production,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ddcee0384b00bbc661f9f211204f366/547ae9e70162f9a91933,hit-fr,development,tap,0.0,0.0,320.0,480.0,,,,,,,,,,,,,,,,,,320.0,480.0,,,
69e7ba8b0ab3d58b02f01c5f4008bbac/6b4a47351f3dbd75d82b,hit,development,tap,0.0,0.0,320.0,480.0,,,,,,,,,,,,,,,,,,320.0,480.0,,,
7491c3fec70a1bcb95aaeb5483b0462c,hulu-full-screen-tap-hold-video-2sec-end-screen-now-imported,testing,"tap,click",0.0,0.0,1217.0,1008.0,-403.0,0.0,1217.0,1008.0,,,,,True,0.0,0.0,350.0,69.0,125.0,810.0,350.0,69.0,600.0,900.0,,,
7653e36c5de21d79740afa4094888691,BUILD - Epson Eco Tank-ARABIC-imported,staging,"click,shake",,,,,,,,,,,,,True,,,,,,,,,600.0,900.0,,,
8492215048a86b4ad470cc1e73deeef3/671f7a96b1dcb3479c07,harrydoesntowrkm8,testing,click,,,,,,,,,,,,,True,0.0,0.0,514.0,134.0,278.0,1293.0,514.0,134.0,1080.0,1920.0,,,
9d75934e35f4fc12a1698c7eb3ebc541,keyframe-copy,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1a2f396699c52f46ed41db4eb69219c/10852baf1bb88fc808fa,parag,testing,"tap,click",0.0,0.0,320.0,480.0,,,,,,,,,True,0.0,0.0,202.0,56.0,3.0,-18.0,202.0,56.0,320.0,480.0,,,
aa03cb3494f02d79daa38ce00cccc910,forjames,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
b56e931167e141c16e9ed62220d99dbe/552cba05208aeedbf91b,testingpkg,staging,"click,tap",0.0,0.0,600.0,900.0,,,,,,,,,True,0.0,0.0,281.0,56.0,304.0,802.0,281.0,56.0,600.0,900.0,,,
